/* DATA DESCRIPTION:
Citation:	Fewkes, Ronald H; McFarland, William Douglas; Reinhart, W R (1980): Bulk on-board geochemistry of manganese nodules recovered for the DOMES, Sites A, B and C areas in the Pacific Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.878221, 
	In supplement to: Fewkes, RH et al. (1980): Evaluation of metal resources at and near proposed deep sea mine sites. United States Bureau of Mines, Open File Report, 108-80, 242 pp
Project(s):	NOAA and MMS Marine Minerals Geochemical Database (NOAA-MMS) (URI: https://wiki.pangaea.de/wiki/NOAA-MMS)
Coverage:	MEDIAN LATITUDE: 12.138392 * MEDIAN LONGITUDE: -137.723371 * SOUTH-BOUND LATITUDE: 8.238300 * WEST-BOUND LONGITUDE: -151.238300 * NORTH-BOUND LATITUDE: 15.778333 * EAST-BOUND LONGITUDE: -125.447000
	DATE/TIME START: 1975-05-01T00:00:00 * DATE/TIME END: 1976-10-01T00:00:00
	MINIMUM DEPTH, sediment/rock: 0 m * MAXIMUM DEPTH, sediment/rock: 0 m
Event(s):	RP6OC75-5-2 * LATITUDE: 15.250000 * LONGITUDE: -125.500000 * DATE/TIME: 1975-05-01T00:00:00 * ELEVATION: -4458.0 m * LOCATION: DOMES Site C, Pacific Ocean * CAMPAIGN: RP6OC75 * BASIS: Oceanographer * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer)
	RP6OC75-14-38 * LATITUDE: 15.226667 * LONGITUDE: -126.502333 * DATE/TIME: 1975-05-22T00:00:00 * ELEVATION: -4526.0 m * Recovery: 0.39 m * LOCATION: DOMES Site C, Pacific Ocean * CAMPAIGN: RP6OC75 * BASIS: Oceanographer * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer)
	RP6OC75-14-39 * LATITUDE: 15.243333 * LONGITUDE: -126.493333 * DATE/TIME: 1975-05-22T00:00:00 * ELEVATION: -4581.0 m * Recovery: 0.35 m * LOCATION: DOMES Site C, Pacific Ocean * CAMPAIGN: RP6OC75 * BASIS: Oceanographer * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer)
	RP6OC75-16B-1 * LATITUDE: 15.766700 * LONGITUDE: -126.100000 * DATE/TIME: 1975-05-01T00:00:00 * ELEVATION: -4514.0 m * LOCATION: DOMES Site C, Pacific Ocean * CAMPAIGN: RP6OC75 * BASIS: Oceanographer * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer)
	RP6OC75-16B-49 * LATITUDE: 15.778333 * LONGITUDE: -126.186667 * DATE/TIME: 1975-05-24T00:00:00 * ELEVATION: -4692.0 m * Recovery: 0.4 m * LOCATION: DOMES Site C, Pacific Ocean * CAMPAIGN: RP6OC75 * BASIS: Oceanographer * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer)
